trialid,trialid_critical,e,e.norm,n_back,ppid,run,event.order,event.x,critical,lead,fixation_number,gte.e,gte.norm,h_max
12_TRUE_5_TRUE,12_TRUE_5_TRUE_FALSE,1.90639444453732,0.448793029524232,TRUE,12,2,4,5,FALSE,TRUE,154,0.812253946754431,0.191216414080249,4.24782543204448
12_TRUE_6_FALSE,12_TRUE_6_FALSE_FALSE,2.12813841943339,0.500994792153951,TRUE,12,2,5,6,FALSE,FALSE,253,0.925804090782436,0.217947772476339,4.24782543204448
12_TRUE_7_3,12_TRUE_7_3_TRUE,1.62950122809173,0.383608331877106,TRUE,12,2,3,7,TRUE,TRUE,153,0.988765594525309,0.232769827843282,4.24782543204448
12_TRUE_8_5,12_TRUE_8_5_TRUE,1.71746256401106,0.404315712000539,TRUE,12,2,4,8,TRUE,TRUE,145,0.846891079534282,0.199370499819874,4.24782543204448
12_TRUE_9_TRUE,12_TRUE_9_TRUE_FALSE,1.39569031662348,0.328565836555984,TRUE,12,2,6,9,FALSE,TRUE,139,0.696846804726048,0.164047891297326,4.24782543204448
13_FALSE_10_TRUE,13_FALSE_10_TRUE_FALSE,1.71716520822043,0.404245710114777,FALSE,13,2,6,10,FALSE,TRUE,78,1.04472861439555,0.245944338134612,4.24782543204448
13_FALSE_1_3,13_FALSE_1_3_TRUE,1.15601334885397,0.272142386109681,FALSE,13,2,1,1,TRUE,TRUE,130,0.90972582686858,0.214162714881324,4.24782543204448
13_FALSE_2_TRUE,13_FALSE_2_TRUE_FALSE,1.80172835974864,0.424153108119009,FALSE,13,2,1,2,FALSE,TRUE,140,0.882215460425595,0.207686373778544,4.24782543204448
13_FALSE_3_5,13_FALSE_3_5_TRUE,1.80803522352904,0.425637835747603,FALSE,13,2,2,3,TRUE,TRUE,89,0.948070499530069,0.223189609530108,4.24782543204448
13_FALSE_4_TRUE,13_FALSE_4_TRUE_FALSE,1.19459986507883,0.281226214257084,FALSE,13,2,2,4,FALSE,TRUE,93,0.823681754340793,0.193906686495908,4.24782543204448
13_FALSE_5_FALSE,13_FALSE_5_FALSE_FALSE,2.18272898059871,0.513846205668617,FALSE,13,2,3,5,FALSE,FALSE,226,1.01031786837629,0.237843547137017,4.24782543204448
13_FALSE_6_3,13_FALSE_6_3_TRUE,1.98712324882466,0.467797766319285,FALSE,13,2,3,6,TRUE,TRUE,156,1.02997754123894,0.242471720581797,4.24782543204448
13_FALSE_7_5,13_FALSE_7_5_TRUE,2.22183666845738,0.523052725212394,FALSE,13,2,4,7,TRUE,TRUE,125,1.01586820289121,0.239150176753444,4.24782543204448
13_FALSE_8_TRUE,13_FALSE_8_TRUE_FALSE,1.96124682738462,0.461706079677731,FALSE,13,2,4,8,FALSE,TRUE,151,0.929750207823986,0.218876745925149,4.24782543204448
13_FALSE_9_FALSE,13_FALSE_9_FALSE_FALSE,2.21351722356974,0.521094206666674,FALSE,13,2,5,9,FALSE,FALSE,233,0.908903114347526,0.213969036366466,4.24782543204448
