participant,task,sub_scale,raw_score,converted_score
6,No N-back,physical_demand,3,10
6,No N-back,temporal_demand,11,50
6,No N-back,performance,6,25
6,No N-back,effort,15,70
6,No N-back,frustration,6,25
9,N-back,mental_demand,14,65
9,N-back,physical_demand,1,0
9,N-back,temporal_demand,12,55
9,N-back,performance,14,65
9,N-back,effort,12,55
9,N-back,frustration,15,70
9,No N-back,mental_demand,3,10
9,No N-back,physical_demand,3,10
9,No N-back,temporal_demand,3,10
9,No N-back,performance,5,20
9,No N-back,effort,5,20
9,No N-back,frustration,1,0
24,N-back,mental_demand,21,100
24,N-back,physical_demand,15,70
24,N-back,temporal_demand,13,60
24,N-back,performance,15,70
24,N-back,effort,18,85
24,N-back,frustration,13,60
24,No N-back,mental_demand,14,65
24,No N-back,physical_demand,7,30
24,No N-back,temporal_demand,5,20
24,No N-back,performance,9,40
24,No N-back,effort,15,70
24,No N-back,frustration,5,20
47,N-back,mental_demand,15,70
47,N-back,physical_demand,3,10
47,N-back,temporal_demand,11,50
47,N-back,performance,7,30
47,N-back,effort,14,65
47,N-back,frustration,2,5
47,No N-back,mental_demand,4,15
47,No N-back,physical_demand,3,10
47,No N-back,temporal_demand,3,10
47,No N-back,performance,3,10
47,No N-back,effort,3,10
47,No N-back,frustration,3,10
42,N-back,mental_demand,19,90
42,N-back,physical_demand,19,90
42,N-back,temporal_demand,15,70
42,N-back,performance,15,70
42,N-back,effort,20,95
42,N-back,frustration,15,70
42,No N-back,mental_demand,15,70
42,No N-back,physical_demand,6,25
42,No N-back,temporal_demand,17,80
42,No N-back,performance,6,25
42,No N-back,effort,8,35
42,No N-back,frustration,13,60
19,N-back,mental_demand,16,75
19,N-back,physical_demand,2,5
19,N-back,temporal_demand,11,50
19,N-back,performance,11,50
19,N-back,effort,17,80
19,N-back,frustration,13,60
19,No N-back,mental_demand,6,25
19,No N-back,physical_demand,2,5
19,No N-back,temporal_demand,7,30
19,No N-back,performance,8,35
19,No N-back,effort,14,65
19,No N-back,frustration,11,50
43,N-back,mental_demand,15,70
43,N-back,physical_demand,3,10
43,N-back,temporal_demand,5,20
43,N-back,performance,11,50
43,N-back,effort,15,70
43,N-back,frustration,14,65
43,No N-back,mental_demand,8,35
43,No N-back,physical_demand,4,15
43,No N-back,temporal_demand,3,10
43,No N-back,performance,11,50
43,No N-back,effort,6,25
43,No N-back,frustration,13,60
45,N-back,mental_demand,18,85
45,N-back,physical_demand,5,20
45,N-back,temporal_demand,11,50
45,N-back,performance,10,45
45,N-back,effort,14,65
45,N-back,frustration,12,55
45,No N-back,mental_demand,5,20
45,No N-back,physical_demand,4,15
45,No N-back,temporal_demand,4,15
45,No N-back,performance,17,80
45,No N-back,effort,4,15
45,No N-back,frustration,3,10
48,N-back,mental_demand,10,45
48,N-back,physical_demand,3,10
48,N-back,temporal_demand,4,15
48,N-back,performance,9,40
48,N-back,effort,9,40
48,N-back,frustration,8,35
48,No N-back,mental_demand,9,40
48,No N-back,physical_demand,2,5
48,No N-back,temporal_demand,5,20
48,No N-back,performance,4,15
48,No N-back,effort,7,30
48,No N-back,frustration,3,10
49,N-back,mental_demand,18,85
49,N-back,physical_demand,11,50
49,N-back,temporal_demand,3,10
49,N-back,performance,13,60
49,N-back,effort,17,80
49,N-back,frustration,12,55
49,No N-back,mental_demand,16,75
49,No N-back,physical_demand,16,75
49,No N-back,temporal_demand,1,0
49,No N-back,performance,5,20
49,No N-back,effort,14,65
49,No N-back,frustration,11,50
